candidate_id,structure_id,c1_ff,c2_ff,kappa,abs_vth_residual,source_sensitivity,ideal_vth_residual,total_cap_ff,transistors,control_groups,isolate_drain,track_prep,pareto,reference_timing,reference_mix,program_error_mv,hold_delta_vgs_mv
P3-306acce247,S3-fd65244088,320.0,80.0,0.19851116625310192,0.007444168734490386,0.015236808526607692,-5.551115123125783e-16,400.0,6,4,False,False,True,T3-19,IGZO/IGZO/IGZO/IGZO/LTPS,4.2497314165074185,-3.1685814985227267
P3-8396b7aa3f,S3-03b6d9e577,320.0,80.0,0.19851116625310192,0.0074441687344919405,0.015236808526607915,-4.440892098500626e-16,400.0,6,5,False,True,True,,,,
P3-b3166ab02d,S3-7f211789e6,320.0,80.0,0.19851116625310192,0.007444168734490386,0.015236808526607692,-5.551115123125783e-16,400.0,7,4,True,False,False,,,,
P3-120ecce48d,S3-7b5c2814dc,320.0,80.0,0.19851116625310192,0.0074441687344919405,0.015236808526607915,-4.440892098500626e-16,400.0,7,5,True,True,False,,,,
P3-80856211a1,S3-08c937a01c,320.0,80.0,0.19851116625310192,0.007444168734490386,0.015236808526607692,-5.551115123125783e-16,400.0,7,5,False,False,False,,,,
P3-685a0471fd,S3-fd65244088,320.0,160.0,0.33126293995859235,0.006211180124224169,0.015309805113399522,-1.1102230246251565e-16,480.0,6,4,False,False,True,T3-13,IGZO/IGZO/IGZO/IGZO/LTPS,4.470002302403742,-3.3293917446846066
P3-bbc4e43017,S3-03b6d9e577,320.0,160.0,0.33126293995859235,0.006211180124223614,0.0153098051133993,-1.887379141862766e-15,480.0,6,5,False,True,True,,,,
P3-bc3059444a,S3-7f211789e6,320.0,160.0,0.33126293995859235,0.006211180124224169,0.015309805113399522,-1.1102230246251565e-16,480.0,7,4,True,False,False,,,,
P3-3ae002f748,S3-7b5c2814dc,320.0,160.0,0.33126293995859235,0.006211180124223614,0.0153098051133993,-1.887379141862766e-15,480.0,7,5,True,True,False,,,,
P3-ba0adc0942,S3-08c937a01c,320.0,160.0,0.33126293995859235,0.006211180124224169,0.015309805113399522,-1.1102230246251565e-16,480.0,7,5,False,False,False,,,,
P3-067aac84c1,S3-fd65244088,320.0,320.0,0.4976671850699841,0.004665629860031051,0.015346979339869726,2.220446049250313e-16,640.0,6,4,False,False,True,,,,
P3-97d7f2a7b4,S3-03b6d9e577,320.0,320.0,0.4976671850699841,0.004665629860031051,0.015346979339869726,6.661338147750939e-16,640.0,6,5,False,True,True,,,,
P3-95eb617cf2,S3-7f211789e6,320.0,320.0,0.4976671850699841,0.004665629860031051,0.015346979339869726,2.220446049250313e-16,640.0,7,4,True,False,False,,,,
P3-92a70533fc,S3-08c937a01c,320.0,320.0,0.4976671850699841,0.004665629860031051,0.015346979339869726,2.220446049250313e-16,640.0,7,5,False,False,False,,,,
P3-f407b65cf8,S3-7b5c2814dc,320.0,320.0,0.4976671850699841,0.004665629860031051,0.015346979339869726,6.661338147750939e-16,640.0,7,5,True,True,False,,,,
P3-554afd787e,S3-fd65244088,320.0,640.0,0.6645898234683283,0.0031152647975086767,0.015365739098761377,2.220446049250313e-16,960.0,6,4,False,False,False,,,,
P3-10b6f25572,S3-03b6d9e577,320.0,640.0,0.6645898234683283,0.0031152647975083436,0.015365739098761377,4.440892098500626e-16,960.0,6,5,False,True,False,,,,
P3-d556fd4705,S3-7f211789e6,320.0,640.0,0.6645898234683283,0.0031152647975086767,0.015365739098761377,2.220446049250313e-16,960.0,7,4,True,False,False,,,,
P3-7b9a5290a5,S3-7b5c2814dc,320.0,640.0,0.6645898234683283,0.0031152647975083436,0.015365739098761377,4.440892098500626e-16,960.0,7,5,True,True,False,,,,
P3-c3e7f1ab5b,S3-08c937a01c,320.0,640.0,0.6645898234683283,0.0031152647975086767,0.015365739098761377,2.220446049250313e-16,960.0,7,5,False,False,False,,,,
P3-52a58d3c39,S3-fd65244088,160.0,20.0,0.10928961748633881,0.016393442622950394,0.029233314947600286,0.0,180.0,6,4,False,False,True,,,,
P3-3e3a5db3d5,S3-03b6d9e577,160.0,20.0,0.10928961748633881,0.016393442622950283,0.029233314947600286,4.440892098500626e-16,180.0,6,5,False,True,True,,,,
P3-74bfcd82dc,S3-7f211789e6,160.0,20.0,0.10928961748633881,0.016393442622950394,0.029233314947600286,0.0,180.0,7,4,True,False,False,,,,
P3-6e6d0db03d,S3-08c937a01c,160.0,20.0,0.10928961748633881,0.016393442622950394,0.029233314947600286,0.0,180.0,7,5,False,False,False,,,,
P3-9c50720401,S3-7b5c2814dc,160.0,20.0,0.10928961748633881,0.016393442622950283,0.029233314947600286,4.440892098500626e-16,180.0,7,5,True,True,False,,,,
P3-1890721a34,S3-fd65244088,160.0,40.0,0.1970443349753697,0.014778325123152802,0.029742997401097537,-5.551115123125783e-16,200.0,6,4,False,False,True,,,,
P3-3c3a681a19,S3-03b6d9e577,160.0,40.0,0.1970443349753697,0.014778325123152025,0.029742997401097537,-4.440892098500626e-16,200.0,6,5,False,True,True,,,,
P3-6c19589090,S3-7f211789e6,160.0,40.0,0.1970443349753697,0.014778325123152802,0.029742997401097537,-5.551115123125783e-16,200.0,7,4,True,False,False,,,,
P3-76f6d5b9bd,S3-7b5c2814dc,160.0,40.0,0.1970443349753697,0.014778325123152025,0.029742997401097537,-4.440892098500626e-16,200.0,7,5,True,True,False,,,,
P3-ac94ca0ebc,S3-08c937a01c,160.0,40.0,0.1970443349753697,0.014778325123152802,0.029742997401097537,-5.551115123125783e-16,200.0,7,5,False,False,False,,,,
