structure_id,caps,anchor,track_prep,data_node,anchor_emit,split_source,isolate_drain,control_groups,transistors,kappa,vth_residual,source_sensitivity,decision
S3-20afcc7309,G-S,S,False,X,True,True,True,7,8,,,,control_groups_gt_5
S3-71fb99d8f9,G-S,S,True,G,False,False,False,5,6,1.0,-1.0000000000000004,0.0,no_intrinsic_DATA_compression
S3-efaa24a671,G-S,S,True,G,False,False,True,5,7,1.0,-1.0000000000000004,0.0,no_intrinsic_DATA_compression
S3-a6e7928341,G-S,S,True,G,False,True,False,6,7,,,,control_groups_gt_5
S3-1cca5a5059,G-S,S,True,G,False,True,True,7,8,,,,control_groups_gt_5
S3-850bfeadfc,G-S,S,True,G,True,False,False,5,6,1.0,-1.0000000000000004,-1.1102230246251565e-15,no_intrinsic_DATA_compression
S3-fc010159d8,G-S,S,True,G,True,False,True,5,7,1.0,-1.0000000000000004,-1.1102230246251565e-15,no_intrinsic_DATA_compression
S3-5a8d6ee65e,G-S,S,True,G,True,True,False,6,7,,,,control_groups_gt_5
S3-83192fbf44,G-S,S,True,G,True,True,True,7,8,,,,control_groups_gt_5
S3-ad6ce5efe4,G-S,S,True,S,False,False,False,5,6,,,,DATA_and_VINIT_short_in_WRITE
S3-760a4024ea,G-S,S,True,S,False,False,True,5,7,,,,DATA_and_VINIT_short_in_WRITE
S3-315baa539e,G-S,S,True,S,False,True,False,6,7,,,,control_groups_gt_5
S3-237cb5cb1a,G-S,S,True,S,False,True,True,7,8,,,,control_groups_gt_5
S3-034efe6bae,G-S,S,True,S,True,False,False,5,6,,,,DATA_and_VINIT_short_in_WRITE
S3-e3966b7ffe,G-S,S,True,S,True,False,True,5,7,,,,DATA_and_VINIT_short_in_WRITE
S3-5f66951801,G-S,S,True,S,True,True,False,6,7,,,,control_groups_gt_5
S3-c8689d62db,G-S,S,True,S,True,True,True,7,8,,,,control_groups_gt_5
S3-c61fbd61f5,G-S,S,True,X,False,False,False,5,6,-1.4895204919483636e-16,-2.4424906541753444e-15,0.0,no_intrinsic_DATA_compression
S3-5732a3eafb,G-S,S,True,X,False,False,True,5,7,-1.4895204919483636e-16,-2.4424906541753444e-15,0.0,no_intrinsic_DATA_compression
S3-b5c5368588,G-S,S,True,X,False,True,False,6,7,,,,control_groups_gt_5
S3-d2aabcd222,G-S,S,True,X,False,True,True,7,8,,,,control_groups_gt_5
S3-501e18eb89,G-S,S,True,X,True,False,False,5,6,-1.0572416448026152e-16,-2.4424906541753444e-15,-1.1102230246251565e-15,no_intrinsic_DATA_compression
S3-dc10cf5d78,G-S,S,True,X,True,False,True,5,7,-1.0572416448026152e-16,-2.4424906541753444e-15,-1.1102230246251565e-15,no_intrinsic_DATA_compression
S3-4497e4699e,G-S,S,True,X,True,True,False,6,7,,,,control_groups_gt_5
S3-0a12ab814a,G-S,S,True,X,True,True,True,7,8,,,,control_groups_gt_5
S3-a08599c21b,G-S,G,False,G,False,False,False,4,6,1.0,-1.0000000000000002,0.0,no_intrinsic_DATA_compression
S3-d07cecd262,G-S,G,False,G,False,False,True,4,7,1.0,-1.0000000000000002,0.0,no_intrinsic_DATA_compression
S3-66b7b419fe,G-S,G,False,G,False,True,False,5,7,1.0,-1.0000000000000002,0.0,no_intrinsic_DATA_compression
S3-6fe3d7c0c3,G-S,G,False,G,False,True,True,6,8,,,,control_groups_gt_5
S3-f6bd3aa397,G-S,G,False,G,True,False,False,5,6,0.9999999999999997,-1.0000000000000002,8.881784197001252e-16,no_intrinsic_DATA_compression
S3-e40c1ce5a6,G-S,G,False,G,True,False,True,5,7,0.9999999999999997,-1.0000000000000002,8.881784197001252e-16,no_intrinsic_DATA_compression
S3-214a65c78e,G-S,G,False,G,True,True,False,6,7,,,,control_groups_gt_5
S3-22afc96001,G-S,G,False,G,True,True,True,7,8,,,,control_groups_gt_5
S3-208a52ffcb,G-S,G,False,S,False,False,False,4,6,,,,DATA_and_VINIT_short_in_WRITE
S3-da8970391a,G-S,G,False,S,False,False,True,4,7,,,,DATA_and_VINIT_short_in_WRITE
S3-7509a54b78,G-S,G,False,S,False,True,False,5,7,,,,DATA_and_VINIT_short_in_WRITE
S3-105a218594,G-S,G,False,S,False,True,True,6,8,,,,control_groups_gt_5
S3-fdc368892d,G-S,G,False,S,True,False,False,5,6,,,,DATA_and_VINIT_short_in_WRITE
S3-bcd8b3891a,G-S,G,False,S,True,False,True,5,7,,,,DATA_and_VINIT_short_in_WRITE
S3-72c06b8717,G-S,G,False,S,True,True,False,6,7,,,,control_groups_gt_5
S3-ee5763d436,G-S,G,False,S,True,True,True,7,8,,,,control_groups_gt_5
S3-9b08f2efdb,G-S,G,False,X,False,False,False,4,6,-1.4895204919483636e-16,-2.220446049250313e-16,0.0,no_intrinsic_DATA_compression
S3-90db66baea,G-S,G,False,X,False,False,True,4,7,-1.4895204919483636e-16,-2.220446049250313e-16,0.0,no_intrinsic_DATA_compression
S3-253a87729a,G-S,G,False,X,False,True,False,5,7,-1.4895204919483636e-16,-2.220446049250313e-16,0.0,no_intrinsic_DATA_compression
S3-1a7d2ee249,G-S,G,False,X,False,True,True,6,8,,,,control_groups_gt_5
S3-3dc4902dff,G-S,G,False,X,True,False,False,5,6,5.2830988233413334e-17,-3.3306690738754696e-16,1.1102230246251565e-15,no_intrinsic_DATA_compression
S3-0da6821a6b,G-S,G,False,X,True,False,True,5,7,5.2830988233413334e-17,-3.3306690738754696e-16,1.1102230246251565e-15,no_intrinsic_DATA_compression
S3-fa94e74470,G-S,G,False,X,True,True,False,6,7,,,,control_groups_gt_5
S3-23c94ee473,G-S,G,False,X,True,True,True,7,8,,,,control_groups_gt_5
S3-5b53ab868b,G-S,G,True,G,False,False,False,5,6,1.0,-1.0,0.0,no_intrinsic_DATA_compression
S3-0e6370c5ce,G-S,G,True,G,False,False,True,5,7,1.0,-1.0,0.0,no_intrinsic_DATA_compression
