candidate_id,c_st_ff,c_data_ff,gref_tech,xref_tech,sclamp_tech,data_tech,em_tech,address_us,reset_us,comp_us,source_prep_us,write_us,dead_we_us,functional,score,compression_ratio,source_tracking_gain,vgs_source_sensitivity_pct,hold_droop_60hz_pct,comp_settling_pct,source_prep_settling_pct,write_settling_pct,em_drop_at_300na_mv,total_cap_ff,pareto
V2-D4A2F302D6,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,18.55,0.5,16.0,1.0,1.0,0.05,False,-50.94369775805172,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,45.0,50,False
V2-3B5B8FA258,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,18.6,0.5,16.0,1.0,1.0,0.1,False,-50.95113023435876,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,45.0,50,False
V2-7B2ACACE8C,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,33.05,0.5,32.0,0.25,0.25,0.05,False,-52.91568277138769,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.98930187682248,100.0,100.0,45.0,50,False
V2-5A9FD1F7F7,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,33.1,0.5,32.0,0.25,0.25,0.1,False,-52.921883142134476,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.98930187682248,100.0,100.0,45.0,50,False
V2-EDDEB2C232,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,33.3,0.5,32.0,0.25,0.5,0.05,False,-52.94664590910955,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.98930187682248,100.0,100.0,45.0,50,False
V2-DF39FAE024,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,33.35,0.5,32.0,0.25,0.5,0.1,False,-52.95282693394149,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.98930187682248,100.0,100.0,45.0,50,False
V2-D5F8E44965,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,33.8,0.5,32.0,0.25,1.0,0.05,False,-53.008282659657816,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.98930187682248,100.0,100.0,45.0,50,False
V2-FEA9E0316C,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,33.85,0.5,32.0,0.25,1.0,0.1,False,-53.01442517355659,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.98930187682248,100.0,100.0,45.0,50,False
V2-2386028AA5,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,33.3,0.5,32.0,0.5,0.25,0.05,False,-52.94664590910955,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.98930187682248,100.0,100.0,45.0,50,False
V2-5151F13BD5,40,10,IGZO,IGZO,IGZO,IGZO,IGZO,33.35,0.5,32.0,0.5,0.25,0.1,False,-52.95282693394149,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,99.98930187682248,100.0,100.0,45.0,50,False
