time_s,vg,vs,vx,vgs,gc,xc,sc,dc,ec
5.004087509999999879e-07,3.235683760000000131e+00,5.909936780000000223e-01,5.758725190000000271e-01,2.644690080000000165e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.007766410000000061e-07,3.245134460000000054e+00,6.013830599999999693e-01,5.861535500000000232e-01,2.643751400000000196e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.011554099999999950e-07,3.253883099999999917e+00,6.111264060000000109e-01,5.958551760000000419e-01,2.642756690000000130e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.015520439999999910e-07,3.262082969999999804e+00,6.203956489999999935e-01,6.051420920000000203e-01,2.641687329999999889e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.019621629999999876e-07,3.269633150000000210e+00,6.290783939999999852e-01,6.138954549999999788e-01,2.640554760000000112e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.023914879999999854e-07,3.276633569999999995e+00,6.372905620000000049e-01,6.222255410000000486e-01,2.639343010000000156e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.028371670000000149e-07,3.283031069999999829e+00,6.449711249999999785e-01,6.300640549999999562e-01,2.638059940000000214e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.033040860000000124e-07,3.288892769999999910e+00,6.522013349999999932e-01,6.374873330000000449e-01,2.636691439999999886e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.037906659999999675e-07,3.294195370000000178e+00,6.589532719999999788e-01,6.444602799999999965e-01,2.635242100000000143e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.043013300000000428e-07,3.298986279999999827e+00,6.652874330000000391e-01,6.510388609999999687e-01,2.633698840000000096e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.048356420000000331e-07,3.303260649999999909e+00,6.711975190000000202e-01,6.572101759999999793e-01,2.632063140000000079e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.053979059999999869e-07,3.307054219999999933e+00,6.767321549999999464e-01,6.630186529999999578e-01,2.630322070000000068e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.059888230000000118e-07,3.310373300000000185e+00,6.818994860000000546e-01,6.684666569999999641e-01,2.628473819999999961e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.066129369999999683e-07,3.313246630000000081e+00,6.867419820000000286e-01,6.735928780000000060e-01,2.626504650000000218e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.072722069999999744e-07,3.315686889999999831e+00,6.912779249999999598e-01,6.784107769999999649e-01,2.624408959999999791e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.079718590000000352e-07,3.317718450000000097e+00,6.955475309999999967e-01,6.829573439999999662e-01,2.622170919999999850e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.087152760000000345e-07,3.319356780000000118e+00,6.995761879999999877e-01,6.872541389999999861e-01,2.619780589999999965e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.095094820000000410e-07,3.320623830000000165e+00,7.034072839999999660e-01,6.913422139999999549e-01,2.617216550000000197e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.103594670000000505e-07,3.321534810000000171e+00,7.070707750000000402e-01,6.952486140000000425e-01,2.614464040000000100e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.112746689999999943e-07,3.322108200000000178e+00,7.106139989999999962e-01,6.990192370000000155e-01,2.611494210000000038e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.122635110000000397e-07,3.322358279999999997e+00,7.140764750000000438e-01,7.026919409999999866e-01,2.608281809999999812e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.133392860000000201e-07,3.322298469999999782e+00,7.175121859999999963e-01,7.063202280000000499e-01,2.604786279999999898e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.145160640000000465e-07,3.321938820000000181e+00,7.209736340000000299e-01,7.099562590000000339e-01,2.600965190000000149e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.158142399999999862e-07,3.321285109999999818e+00,7.245285870000000017e-01,7.136684679999999448e-01,2.596756529999999952e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.172581230000000345e-07,3.320338190000000189e+00,7.282511910000000199e-01,7.175320939999999537e-01,2.592086999999999808e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.188822010000000414e-07,3.319089990000000157e+00,7.322375460000000169e-01,7.216453010000000168e-01,2.586852449999999859e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.207316179999999714e-07,3.317522129999999958e+00,7.366045970000000276e-01,7.261278070000000140e-01,2.580917529999999793e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.228720130000000192e-07,3.315597690000000153e+00,7.415115570000000433e-01,7.311427200000000237e-01,2.574086129999999972e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.253976740000000126e-07,3.313254160000000059e+00,7.471751859999999912e-01,7.369118709999999961e-01,2.566078979999999898e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.284552900000000225e-07,3.310383499999999923e+00,7.539182869999999648e-01,7.437649269999999646e-01,2.556465220000000205e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.322816129999999739e-07,3.306801940000000162e+00,7.622436000000000211e-01,7.522140689999999852e-01,2.544558340000000030e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.372934580000000127e-07,3.302179359999999786e+00,7.730105860000000551e-01,7.631328619999999674e-01,2.529168770000000066e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
