candidate_id,topology_id,timing_id,transistor_count,c1_other,comp_node,data_node,anchor_node,bridge_node,anchor_mask,em_mask,address_us,t_reset_us,t_comp_us,t_write_us,t_dead_cw_us,t_dead_we_us,t_emit_us,functional,score,max_rcer_pct,max_prior_error_pct,off_current_nA,low_current_nA,mid_current_nA,high_current_nA,s_th,g_data,monotonic_margin_nA,pareto
PX-6248167C+TM-CEB21E95,PX-6248167C,TM-CEB21E95,7,A,A,A,B,B,1100,1001,17.650000000000002,1.0,16.0,0.5,0.05,0.1,6.0,False,-38.84215317091786,44.46857136161181,0.0,3.931831425049795e-05,37.19975777824357,51.70710735721286,66.93734867850128,0.9794619297459688,0.11931342117016719,14.507349578969288,False
PX-6248167C+TM-C3BA9D91,PX-6248167C,TM-C3BA9D91,7,A,A,A,B,B,1100,1001,17.650000000000002,1.0,16.0,0.5,0.1,0.05,6.0,False,-38.844927752062006,44.48616997361437,0.0,3.9319325129383805e-05,37.16588732699021,51.68792262563518,66.93052857773178,0.9794619297459688,0.11944870981611326,14.522035298644967,False
PX-6248167C+TM-63DEB74E,PX-6248167C,TM-63DEB74E,7,A,A,A,B,B,1100,1001,17.700000000000003,1.0,16.0,0.5,0.1,0.1,6.0,False,-38.85297453438509,44.4861665943248,0.0,3.9319325129383805e-05,37.16610966174168,51.687913369690854,66.93023570748524,0.9794619297459688,0.11944663936980293,14.521803707949173,False
PX-6248167C+TM-01D98488,PX-6248167C,TM-01D98488,7,A,A,A,B,B,1100,1001,18.1,1.0,16.0,1.0,0.05,0.05,6.0,False,-38.927423096025905,44.47332291500173,0.0,3.934261278971147e-05,37.19160372405911,51.522196138188924,66.32296900985779,0.9794619297459688,0.11719581505881213,14.33059241412982,False
PX-6248167C+TM-BA002B5E,PX-6248167C,TM-BA002B5E,7,A,A,A,B,B,1100,1001,18.150000000000002,1.0,16.0,1.0,0.05,0.1,6.0,False,-38.935379704236084,44.473319785264174,0.0,3.934261278971147e-05,37.1918257054096,51.522190754962246,66.32269155719543,0.9794619297459688,0.11719379617143247,14.330365049552642,False
PX-6248167C+TM-E7B2BECF,PX-6248167C,TM-E7B2BECF,7,A,A,A,B,B,1100,1001,18.150000000000002,1.0,16.0,1.0,0.1,0.05,6.0,False,-38.93801672850407,44.49060995907839,0.0,3.934363083875862e-05,37.15848346859498,51.51101444525964,66.32033508333551,0.9794619297459688,0.11734220837376305,14.352530976664662,False
PX-6248167C+TM-2B62A45C,PX-6248167C,TM-2B62A45C,7,A,A,A,B,B,1100,1001,18.200000000000003,1.0,16.0,1.0,0.1,0.1,6.0,False,-38.945963359178,44.490606493960286,0.0,3.934363083875862e-05,37.15870588784035,51.51100931429517,66.32005769465843,0.9794619297459688,0.11734018716801545,14.35230342645482,False
PX-6248167C+TM-7D68BB68,PX-6248167C,TM-7D68BB68,7,A,A,A,B,B,1100,1001,19.1,1.0,16.0,2.0,0.05,0.05,6.0,False,-39.094953277466814,44.48269691834461,0.0,3.939253882649252e-05,37.175792636597244,51.327259185108844,65.88271612878665,0.9794619297459688,0.11571907098829322,14.151466548511605,False
PX-6248167C+TM-068E4492,PX-6248167C,TM-068E4492,7,A,A,A,B,B,1100,1001,19.150000000000002,1.0,16.0,2.0,0.05,0.1,6.0,False,-39.102713468028035,44.482693607378515,0.0,3.939253882649252e-05,37.17601480031329,51.32725801890813,65.88244895498829,0.9794619297459688,0.1157170840370069,14.151243218594844,False
PX-6248167C+TM-21FEE948,PX-6248167C,TM-21FEE948,7,A,A,A,B,B,1100,1001,19.150000000000002,1.0,16.0,2.0,0.1,0.05,6.0,False,-39.1052206659404,44.49938590429151,0.0,3.939356144907124e-05,37.14372133916403,51.32202656631159,65.88192933287873,0.9794619297459688,0.11586705309470646,14.178305227147566,False
